,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Item_Outlet_Sales
2,FDN15,17.5,Low Fat,0.016760075,Meat,141.618,OUT049,1999,Medium,Tier 1,2097.27
12,FDA03,18.5,Regular,0.045463773,Dairy,144.1102,OUT046,1997,Small,Tier 1,2187.153
14,FDS46,17.6,Regular,0.047257328,Snack Foods,119.6782,OUT046,1997,Small,Tier 1,2145.2076
19,DRI11,,Low Fat,0.034237682,Hard Drinks,113.2834,OUT027,1985,Medium,Tier 3,2303.668
20,FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,OUT035,2004,Small,Tier 2,2748.4224
21,FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,OUT035,2004,Small,Tier 2,2748.4224
33,NCS17,18.6,Low Fat,0.080829372,Health and Hygiene,96.4436,OUT018,2009,Medium,Tier 3,2741.7644
35,FDO23,17.85,Low Fat,0,Breads,93.1436,OUT045,2002,,Tier 2,2174.5028
36,DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,OUT046,1997,Small,Tier 1,2085.2856
38,FDV20,,Regular,0.059511812,Fruits and Vegetables,128.0678,OUT027,1985,Medium,Tier 3,2797.6916
41,FDB34,,Low Fat,0.026480954,Snack Foods,87.6198,OUT027,1985,Medium,Tier 3,2180.495
43,FDK43,9.8,Low Fat,0.02681843,Meat,126.002,OUT013,1987,High,Tier 3,2150.534
44,FDK43,9.8,Low Fat,0.02681843,Meat,126.002,OUT013,1987,High,Tier 3,2150.534
45,FDA46,13.6,Low Fat,0.117818348,Snack Foods,192.9136,OUT049,1999,Medium,Tier 1,2527.3768
49,NCP05,19.6,Low Fat,0,Health and Hygiene,153.3024,OUT045,2002,,Tier 2,2428.8384
51,FDL12,15.85,Regular,0.121632721,Baking Goods,60.622,OUT046,1997,Small,Tier 1,2576.646
59,NCX54,9.195,Low Fat,0.048157338,Household,106.1622,OUT045,2002,,Tier 2,2117.244
67,FDY45,,Low Fat,0.026015519,Snack Foods,255.8356,OUT027,1985,Medium,Tier 3,2543.356
71,DRH37,17.6,Low Fat,0.041700756,Soft Drinks,164.8526,OUT045,2002,,Tier 2,2302.3364
72,NCI17,8.645,Low Fat,0.143422643,Health and Hygiene,95.841,OUT046,1997,Small,Tier 1,2027.361
76,FDG02,7.855,Low Fat,0.011324862,Canned,189.6188,OUT017,2007,,Tier 2,2285.0256
78,FDC29,8.39,Regular,0.024205661,Frozen Foods,114.0176,OUT046,1997,Small,Tier 1,2290.352
88,FDG20,15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,OUT017,2007,,Tier 2,2479.4392
89,FDZ55,6.055,Low Fat,0.025403898,Fruits and Vegetables,160.992,OUT035,2004,Small,Tier 2,2716.464
104,FDD10,,Regular,0.045797829,Snack Foods,178.5344,OUT027,1985,Medium,Tier 3,2854.9504
108,FDH14,17.1,Regular,0.0467696,Canned,141.1838,OUT013,1987,High,Tier 3,2247.7408
110,FDG12,6.635,Regular,0,Baking Goods,121.3098,OUT045,2002,,Tier 2,2530.7058
111,FDG12,6.635,Regular,0,Baking Goods,121.3098,OUT045,2002,,Tier 2,2530.7058
115,FDS52,8.89,low fat,0.005505481,Frozen Foods,102.4016,OUT017,2007,,Tier 2,2732.4432
121,FDZ46,7.485,Low Fat,0.06911065,Snack Foods,109.0228,OUT035,2004,Small,Tier 2,2542.0244
122,DRA12,11.6,Low Fat,0.041177505,Soft Drinks,140.3154,OUT017,2007,,Tier 2,2552.6772
125,DRJ13,12.65,LF,0.063017847,Soft Drinks,159.0578,OUT045,2002,,Tier 2,2085.9514
146,NCO55,12.8,Low Fat,0.091221855,Others,105.5938,OUT045,2002,,Tier 2,2143.876
147,NCC30,16.6,Low Fat,0.027622076,Household,177.6344,OUT049,1999,Medium,Tier 1,2676.516
156,FDI04,13.65,Regular,0.073209447,Frozen Foods,197.6426,OUT018,2009,Medium,Tier 3,2768.3964
163,FDQ28,14,Regular,0.060376776,Frozen Foods,154.5656,OUT013,1987,High,Tier 3,2471.4496
167,DRF49,7.27,Low Fat,0.071077939,Soft Drinks,114.2518,OUT046,1997,Small,Tier 1,2618.5914
168,FDW51,6.155,Regular,0.094659871,Meat,214.556,OUT046,1997,Small,Tier 1,2769.728
170,FDP25,15.2,Low Fat,0.021327477,Canned,216.8824,OUT017,2007,,Tier 2,2838.9712
174,NCM43,14.5,Low Fat,0.019471688,Others,164.821,OUT035,2004,Small,Tier 2,2120.573
192,FDE04,19.75,Regular,0.018059621,Frozen Foods,179.766,OUT045,2002,,Tier 2,2336.958
193,NCB19,6.525,Low Fat,0.090436094,Household,85.0882,OUT049,1999,Medium,Tier 1,2233.0932
202,FDE40,,Regular,0.098663652,Dairy,62.9194,OUT027,1985,Medium,Tier 3,2105.2596
216,FDL58,5.78,Regular,0,Snack Foods,263.7568,OUT017,2007,,Tier 2,2636.568
228,DRJ13,12.65,Low Fat,0.062837968,Soft Drinks,161.5578,OUT013,1987,High,Tier 3,2406.867
230,FDW20,20.75,Low Fat,0.024129332,Fruits and Vegetables,124.173,OUT013,1987,High,Tier 3,2956.152
237,FDF14,7.55,Low Fat,0.027164679,Canned,152.334,OUT035,2004,Small,Tier 2,2603.278
239,DRM47,,Low Fat,0.04357366,Hard Drinks,192.8846,OUT027,1985,Medium,Tier 3,2293.0152
242,FDX21,,LF,0.084554569,Snack Foods,109.8912,OUT027,1985,Medium,Tier 3,2074.6328
269,NCR54,16.35,Low Fat,0.090486828,Household,195.211,OUT013,1987,High,Tier 3,2553.343
273,FDM28,15.7,Low Fat,0.045166237,Frozen Foods,178.666,OUT013,1987,High,Tier 3,2516.724
275,FDS26,20.35,Low Fat,0.089394766,Dairy,260.1594,OUT013,1987,High,Tier 3,2093.2752
278,FDL22,16.85,Low Fat,0.036390174,Snack Foods,91.4488,OUT046,1997,Small,Tier 1,2082.6224
286,NCF07,,Low Fat,0.031867464,Household,101.0016,OUT027,1985,Medium,Tier 3,2125.2336
287,DRE49,20.75,Low Fat,0.021370201,Soft Drinks,153.0024,OUT017,2007,,Tier 2,2277.036
289,FDT39,6.26,Regular,0.009866049,Meat,151.1366,OUT035,2004,Small,Tier 2,2267.049
303,FDU36,6.15,Low Fat,0.04627095,Baking Goods,99.3384,OUT046,1997,Small,Tier 1,2364.9216
309,DRP47,15.75,Low Fat,0.141398626,Hard Drinks,250.5382,OUT017,2007,,Tier 2,2775.7202
316,FDS33,6.67,Regular,0.123428594,Snack Foods,89.1514,OUT046,1997,Small,Tier 1,2390.8878
328,FDB45,20.85,Low Fat,0.021362955,Fruits and Vegetables,103.2306,OUT049,1999,Medium,Tier 1,2404.2038
339,FDO01,,Regular,0.020618324,Breakfast,129.3994,OUT027,1985,Medium,Tier 3,2055.9904
343,FDM01,7.895,reg,0.095102092,Breakfast,104.4332,OUT017,2007,,Tier 2,2870.9296
344,FDY49,,Regular,0.011953902,Canned,164.5184,OUT027,1985,Medium,Tier 3,2807.0128
347,NCY30,20.25,Low Fat,0.026005891,Household,180.9976,OUT045,2002,,Tier 2,2716.464
353,FDX25,16.7,Low Fat,0,Canned,181.2292,OUT018,2009,Medium,Tier 3,2554.0088
357,DRI01,7.97,Low Fat,0.034452949,Soft Drinks,174.0422,OUT046,1997,Small,Tier 1,2586.633
363,FDJ56,,Low Fat,0.182514881,Fruits and Vegetables,98.77,OUT027,1985,Medium,Tier 3,2696.49
365,NCO17,10,Low Fat,0.073379745,Health and Hygiene,118.244,OUT046,1997,Small,Tier 1,2756.412
371,FDS15,9.195,Regular,0.078502143,Meat,108.7596,OUT017,2007,,Tier 2,2588.6304
386,FDP51,13.85,Regular,0.085622362,Meat,119.4124,OUT018,2009,Medium,Tier 3,2251.7356
393,DRE49,20.75,LF,0.021250002,Soft Drinks,150.5024,OUT046,1997,Small,Tier 1,2580.6408
394,FDM40,10.195,Low Fat,0.159936948,Frozen Foods,143.2154,OUT046,1997,Small,Tier 1,2552.6772
401,FDG35,21.2,Regular,0.00704098,Starchy Foods,173.5738,OUT046,1997,Small,Tier 1,2954.1546
402,FDY34,10.5,Regular,0.011026594,Snack Foods,166.4842,OUT018,2009,Medium,Tier 3,2652.5472
408,FDU45,,Regular,0.035334201,Snack Foods,115.3518,OUT027,1985,Medium,Tier 3,2277.036
420,FDF11,10.195,Regular,0.017627888,Starchy Foods,239.6538,OUT035,2004,Small,Tier 2,2403.538
423,NCC06,19,Low Fat,0.027139013,Household,127.3336,OUT017,2007,,Tier 2,2940.1728
444,FDI35,14,Low Fat,0.041291169,Starchy Foods,180.7634,OUT046,1997,Small,Tier 1,2181.1608
447,NCJ18,12.35,Low Fat,0.164196823,Household,120.5124,OUT049,1999,Medium,Tier 1,2133.2232
453,NCO54,,Low Fat,0.014205168,Household,56.7614,OUT027,1985,Medium,Tier 3,2486.763
458,FDU46,10.3,Regular,0.011117041,Snack Foods,85.854,OUT013,1987,High,Tier 3,2683.174
459,NCE43,12.5,LF,0.103422709,Household,169.9448,OUT035,2004,Small,Tier 2,2897.5616
463,NCC42,15,Low Fat,0.044871033,Health and Hygiene,140.3838,OUT013,1987,High,Tier 3,2528.7084
467,NCV42,6.26,Low Fat,0.031599715,Household,111.3228,OUT017,2007,,Tier 2,2431.5016
469,FDO28,5.765,Low Fat,0.072284689,Frozen Foods,119.9098,OUT035,2004,Small,Tier 2,2048.6666
471,FDH16,10.5,Low Fat,0.052852621,Frozen Foods,88.783,OUT017,2007,,Tier 2,2067.309
472,FDG24,7.975,Low Fat,0.014660821,Baking Goods,85.125,OUT045,2002,,Tier 2,2663.2
483,NCO30,19.5,Low Fat,0.015756784,Household,185.0608,OUT045,2002,,Tier 2,2205.1296
484,FDQ45,9.5,Regular,0.010907967,Snack Foods,182.3608,OUT013,1987,High,Tier 3,2940.1728
488,FDR21,19.7,Low Fat,0.066922802,Snack Foods,174.837,OUT035,2004,Small,Tier 2,2999.429
